color,count
tokyo pearl (white pearl) ,1
hd hibiscus ,1
under 18 (red pearl) ,1
vacation time (nude cream) ,1
you just wait (pink pearl) ,1
blushing crystal - pale pink (sheer finish) ,1
hd gladiolus ,1
hd geranium ,1
pink forever (pink cream) ,1
mint apple (green cream) ,1
make it magenta ,1
midnight blue (blue cream) ,1
poolside pink ,1
bali mist (purple pearl) ,1
black on black (black cream) ,1
hd rose ,1
boogie nights (orange cream) ,1
hd primrose ,1
cinderella (blue shimmer) ,1
cloud 9 (orange pearl) ,1
cream pink  (pink cream) ,1
daredevil (pink cream) ,1
easy going (nude cream) ,1
hd poppy ,1
endless blue (blue cream) ,1
folly (red cream) ,1
frenzy (purple glitter) ,1
glass pink (pink shimmer) ,1
hd poinsettia ,1
hazard (orange cream) ,1
hottie (blue glitter) ,1
hd petunia ,1
let me go (purple matte) ,1
let's talk (purple pearl) ,1
love nails (blue pearl) ,1
nude - light   ,1
pink - light   ,1
find me an oasis ,1
adorn - rich plum ,1
mad for matte ,1
matte for me ,1
matte-r of fact ,1
she's so matte ,1
verve violet,1
sultry sienna,1
plum berry,1
wine to five,1
wild berry,1
cinnamon stick,1
brazen raisin,1
blush - earthy purple ,1
mermaid blue ,1
flicker - berry ,1
glisten - caramel shimmer ,1
smolder - cherry red ,1
amour ,1
cleopatra ,1
delight ,1
enchantment ,1
euphoria ,1
exuberance ,1
feline ,1
fuchsia flare ,1
lacquerized ,1
lacque-y you  ,1
lacque-y charm ,1
"game, set & matte ",1
starlight silver ,1
strawberry delight ,1
sparkling snow ,1
ballerina beauty ,1
chaos ,1
eye candy ,1
golden sunlight ,1
forever fuchsia ,1
plum fury,1
red siren,1
phantom pink,1
loved up - sassy berry-red cream ,1
castle ,1
baby pink ,1
zoe's red  ,1
liya's red  ,1
julianne's red ,1
freida's red ,1
eva's red ,1
blake's red  ,1
sedona (bright coral) ,1
old blighty - brilliant brick red cream ,1
ruby murray - delicious deep berry cream ,1
jezebel ,1
mauve avant-garde ,1
paris rose ,1
hd smoky topaz ,1
hd sunstone ,1
hd tourmaline ,1
chaos (jlp724) strawberry pink (cream) ,1
